DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
24-Jun-2017 13:19:39,4,1,1e-06,Separate,2.4286e-05 
24-Jun-2017 13:19:39,4,1,1e-06,Batch,2.4952e-06 
24-Jun-2017 13:19:39,4,1,1e-06,Batch With STLN,2.4334e-06 
24-Jun-2017 13:19:39,4,1,1e-06,Batch Constrained,7.778e-07 
24-Jun-2017 13:19:39,4,1,1e-06,Batch Constrained With STLN,4.9939e-07 
24-Jun-2017 13:19:39,5,1,1e-06,Separate,2.7305e-06 
24-Jun-2017 13:19:39,5,1,1e-06,Batch,3.187e-06 
24-Jun-2017 13:19:39,5,1,1e-06,Batch With STLN,3.1507e-06 
24-Jun-2017 13:19:39,5,1,1e-06,Batch Constrained,1.3898e-06 
24-Jun-2017 13:19:39,5,1,1e-06,Batch Constrained With STLN,1.1789e-06 
24-Jun-2017 13:19:39,2,1,1e-06,Separate,5.6924e-06 
24-Jun-2017 13:19:39,2,1,1e-06,Batch,5.9806e-06 
24-Jun-2017 13:19:39,2,1,1e-06,Batch With STLN,5.9297e-06 
24-Jun-2017 13:19:39,2,1,1e-06,Batch Constrained,2.1529e-06 
24-Jun-2017 13:19:39,2,1,1e-06,Batch Constrained With STLN,2.1743e-06 
24-Jun-2017 13:19:39,6,1,1e-06,Separate,2.7305e-06 
24-Jun-2017 13:19:39,6,1,1e-06,Batch,3.187e-06 
24-Jun-2017 13:19:39,6,1,1e-06,Batch With STLN,3.1507e-06 
24-Jun-2017 13:19:39,6,1,1e-06,Batch Constrained,1.3898e-06 
24-Jun-2017 13:19:39,6,1,1e-06,Batch Constrained With STLN,1.1789e-06 
24-Jun-2017 13:19:41,4,0,1e-06,Separate,2.4286e-05 
24-Jun-2017 13:19:41,4,0,1e-06,Batch,2.4286e-05 
24-Jun-2017 13:19:41,4,0,1e-06,Batch With STLN,2.5125e-05 
24-Jun-2017 13:19:41,4,0,1e-06,Batch Constrained,1.1922e-05 
24-Jun-2017 13:19:41,4,0,1e-06,Batch Constrained With STLN,3.5539e-06 
24-Jun-2017 13:19:41,5,0,1e-06,Separate,2.7305e-06 
24-Jun-2017 13:19:41,5,0,1e-06,Batch,2.7305e-06 
24-Jun-2017 13:19:41,5,0,1e-06,Batch With STLN,2.7029e-06 
24-Jun-2017 13:19:41,5,0,1e-06,Batch Constrained,9.3124e-07 
24-Jun-2017 13:19:41,5,0,1e-06,Batch Constrained With STLN,7.1756e-07 
24-Jun-2017 13:19:41,6,0,1e-06,Separate,2.7305e-06 
24-Jun-2017 13:19:41,6,0,1e-06,Batch,2.7305e-06 
24-Jun-2017 13:19:41,6,0,1e-06,Batch With STLN,2.7029e-06 
24-Jun-2017 13:19:41,6,0,1e-06,Batch Constrained,9.3124e-07 
24-Jun-2017 13:19:41,6,0,1e-06,Batch Constrained With STLN,7.1756e-07 
24-Jun-2017 13:19:41,2,0,1e-06,Separate,5.6924e-06 
24-Jun-2017 13:19:41,2,0,1e-06,Batch,5.6924e-06 
24-Jun-2017 13:19:41,2,0,1e-06,Batch With STLN,5.646e-06 
24-Jun-2017 13:19:41,2,0,1e-06,Batch Constrained,1.871e-06 
24-Jun-2017 13:19:41,2,0,1e-06,Batch Constrained With STLN,1.8983e-06 
24-Jun-2017 13:19:43,4,1,1e-07,Separate,2.4285e-06 
24-Jun-2017 13:19:43,4,1,1e-07,Batch,2.4952e-07 
24-Jun-2017 13:19:43,4,1,1e-07,Batch With STLN,2.4334e-07 
24-Jun-2017 13:19:43,4,1,1e-07,Batch Constrained,7.778e-08 
24-Jun-2017 13:19:43,4,1,1e-07,Batch Constrained With STLN,4.9939e-08 
24-Jun-2017 13:19:43,5,1,1e-07,Separate,2.7305e-07 
24-Jun-2017 13:19:43,5,1,1e-07,Batch,3.187e-07 
24-Jun-2017 13:19:43,5,1,1e-07,Batch With STLN,3.1507e-07 
24-Jun-2017 13:19:43,5,1,1e-07,Batch Constrained,1.3898e-07 
24-Jun-2017 13:19:43,5,1,1e-07,Batch Constrained With STLN,1.1789e-07 
24-Jun-2017 13:19:43,6,1,1e-07,Separate,2.7305e-07 
24-Jun-2017 13:19:43,6,1,1e-07,Batch,3.187e-07 
24-Jun-2017 13:19:43,6,1,1e-07,Batch With STLN,3.1507e-07 
24-Jun-2017 13:19:43,6,1,1e-07,Batch Constrained,1.3898e-07 
24-Jun-2017 13:19:43,6,1,1e-07,Batch Constrained With STLN,1.1789e-07 
24-Jun-2017 13:19:43,2,1,1e-07,Separate,5.6924e-07 
24-Jun-2017 13:19:43,2,1,1e-07,Batch,5.9806e-07 
24-Jun-2017 13:19:43,2,1,1e-07,Batch With STLN,5.9297e-07 
24-Jun-2017 13:19:43,2,1,1e-07,Batch Constrained,2.1529e-07 
24-Jun-2017 13:19:43,2,1,1e-07,Batch Constrained With STLN,2.1743e-07 
24-Jun-2017 13:19:45,4,0,1e-07,Separate,2.4285e-06 
24-Jun-2017 13:19:45,4,0,1e-07,Batch,2.4285e-06 
